userID0,userID1,creationTocreation,creationTocontribution,creationTosharing,contributionTocreation,contributionTocontribution,contributionTosharing,sharingTocreation,sharingTocontribution,sharingTosharing
github_-4ut06b_OpsGXyXAfhmtYA,github_6KWJ4EvscQLo50TODmM_mQ,0.0,0.0,0.0,0.0,7.652679778402671e-05,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_2gm1LCEzbYCO0yCkrTFlxw,0.0,0.0,0.0,0.0,0.0005846444400958718,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_5yvOrMfdfptELr6S22M_Ew,0.0,0.0,0.0,0.0,0.0002254109858768061,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_6KWJ4EvscQLo50TODmM_mQ,0.0,0.0,0.0,0.0,0.003228240180760622,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_6kf-qx8iToxTqC-sfGTSVw,0.0,0.0,0.0,0.0,0.002465924248099327,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_79eQcPXsDI3dmaEfenTwbw,0.0,0.0,0.0,0.0,0.00039732438744977117,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_8Dt4VPxwKvSxRW4afTQd2A,0.0,0.0,0.0,2.3160309865488667e-05,0.00024871918139979243,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_Be8pb4JQvUFtoynMeYktrA,0.0,0.0,0.0,0.0,0.0004625490983016789,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_NGeSepquiA1jNXgDYN7L7Q,0.0,0.0,0.0,0.0,0.0020812083967030053,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_Oi0u_rfjpyBv1WPjbKYj0w,0.0,0.0,0.0,0.0,0.002399432007223368,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_R04p6IwnN5bwQnAGjvy5Dg,0.0,0.0,0.0,0.0,0.0005058104288764298,0.0,0.0,0.0,0.0
github_0DqnZzdcbArJ_DB72uQxcg,github_eJiJef9jREmyxHqVBaPeig,0.0,0.0,0.0,0.0,0.00013454785221256316,0.0,0.0,0.0,0.0
